#,CT,T,WTN,WS,TYPE,ST,TT,,,,,,,,,,,,,,,,,,,
1,FaZe Clan,mibr-,FaZe Clan,CT,Pistol round,,,,,,,,,,,,,,,,,,,,,
2,FaZe Clan,mibr-,FaZe Clan,CT,Eco,T,mibr-,,,,,,,,,,,,,,,,,,,
3,FaZe Clan,mibr-,FaZe Clan,CT,Normal,,,,,,,,,,,,,,,,,,,,,
4,FaZe Clan,mibr-,FaZe Clan,CT,Eco,T,mibr-,,,,,,,,,,,,,,,,,,,
5,FaZe Clan,mibr-,FaZe Clan,CT,Normal,,,,,,,,,,,,,,,,,,,,,
6,FaZe Clan,mibr-,FaZe Clan,CT,Normal,,,,,,,,,,,,,,,,,,,,,
7,FaZe Clan,mibr-,mibr-,T,Eco,T,mibr-,,,,,,,,,,,,,,,,,,,
8,FaZe Clan,mibr-,mibr-,T,Normal,,,,,,,,,,,,,,,,,,,,,
9,FaZe Clan,mibr-,FaZe Clan,CT,Normal,,,,,,,,,,,,,,,,,,,,,
10,FaZe Clan,mibr-,mibr-,T,Normal,,,,,,,,,,,,,,,,,,,,,
11,FaZe Clan,mibr-,mibr-,T,Eco,CT,FaZe Clan,,,,,,,,,,,,,,,,,,,
12,FaZe Clan,mibr-,mibr-,T,Normal,,,,,,,,,,,,,,,,,,,,,
13,FaZe Clan,mibr-,mibr-,T,Eco,CT,FaZe Clan,,,,,,,,,,,,,,,,,,,
14,FaZe Clan,mibr-,FaZe Clan,CT,Normal,,,,,,,,,,,,,,,,,,,,,
15,FaZe Clan,mibr-,mibr-,T,Force buy,CT,FaZe Clan,,,,,,,,,,,,,,,,,,,
16,mibr-,FaZe Clan,FaZe Clan,T,Pistol round,,,,,,,,,,,,,,,,,,,,,
17,mibr-,FaZe Clan,FaZe Clan,T,Eco,CT,mibr-,,,,,,,,,,,,,,,,,,,
18,mibr-,FaZe Clan,mibr-,CT,Normal,,,,,,,,,,,,,,,,,,,,,
19,mibr-,FaZe Clan,mibr-,CT,Eco,T,FaZe Clan,,,,,,,,,,,,,,,,,,,
20,mibr-,FaZe Clan,mibr-,CT,Normal,,,,,,,,,,,,,,,,,,,,,
21,mibr-,FaZe Clan,mibr-,CT,Eco,T,FaZe Clan,,,,,,,,,,,,,,,,,,,
22,mibr-,FaZe Clan,FaZe Clan,T,Normal,,,,,,,,,,,,,,,,,,,,,
23,mibr-,FaZe Clan,mibr-,CT,Normal,,,,,,,,,,,,,,,,,,,,,
24,mibr-,FaZe Clan,mibr-,CT,Eco,T,FaZe Clan,,,,,,,,,,,,,,,,,,,
25,mibr-,FaZe Clan,mibr-,CT,Eco,T,FaZe Clan,,,,,,,,,,,,,,,,,,,
26,mibr-,FaZe Clan,mibr-,CT,Normal,,,,,,,,,,,,,,,,,,,,,
27,mibr-,FaZe Clan,FaZe Clan,T,Normal,,,,,,,,,,,,,,,,,,,,,
28,mibr-,FaZe Clan,FaZe Clan,T,Normal,,,,,,,,,,,,,,,,,,,,,
29,mibr-,FaZe Clan,FaZe Clan,T,Eco,CT,mibr-,,,,,,,,,,,,,,,,,,,
30,mibr-,FaZe Clan,FaZe Clan,T,Normal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
